Compound Name,Compound formula,mz,RT,Fold change,Compound concentration ratio,p-value
1,C19H24N2S,313.1734,12.32,4.44,4/1,0
2,C24H30F2O6,453.2079,15.8,0.05,1/16,0
3,C26H32F2O7,495.2184,26.07,0.54,1/2,0.001
4,C21H23ClFNO2,376.1464,12.96,1.35,1/1,0.014
5,C26H28Cl2N4O4,531.1562,12.46,1.17,1/1,0.284
6,C18H34N2O6S,407.2227,3.3,0.28,1/4,0
7,C20H23N,278.1905,12.39,0.54,1/2,0
8,C22H32O3,345.2421,25.02,0.54,1/2,0
9,C15H25NO3,268.1907,3.94,2.06,2/1,0.001
10,C18H14Cl4N2O,416.9905,24.58,3.91,4/1,0
11,C19H21N,264.1749,12.18,0.27,1/4,0
12,C16H18FN3O3,320.1409,3.42,16.15,16/1,0
13,C22H23NO7,414.1546,5.18,0.99,1/1,0.936
14,C18H23NO,270.1851,10,0.92,1/1,0.3
15,C16H24N2O,261.1963,6.83,12.67,16/1,0
16,C20H21NO4,340.1543,4.95,0.09,1/16,0
17,C11H11N5,214.1088,5.53,0.09,1/16,0
18,C21H28O5,361.1992,8.59,18.5,16/1,0
19,C19H29NO,288.2323,9.9,4.07,4/1,0
20,C21H30O2,315.2316,28.13,0.54,1/2,0.001
21,C17H23N3O,286.1914,4.3,14.44,16/1,0
22,C12H13ClN4,249.0903,4.99,1.34,1/1,0.006
23,C13H12N2O3S,277.0641,6.57,0.47,1/2,0
24,C18H14N4O5S,399.0755,11.84,0.27,1/4,0
25,C21H26N2S2,371.1612,18.84,0.55,1/2,0
26,C13H24N4O3S,317.1642,3.75,0.06,1/16,0
27,C21H24F3N3S,408.1716,17,16.61,16/1,0
28,C20H31NO,302.248,11.24,0.27,1/4,0
29,C16H21N3,256.1808,4.2,15.22,16/1,0
30,C19H22N2,279.1856,5.1,1.01,1/1,0.828
31,C16H24N2,245.2014,9.47,3.89,4/1,0
32,C10H13NO2,180.1017,5.91,0.07,1/16,0
33,C21H26N2O3,355.2015,4.36,1.91,2/1,0.001
34,C18H28N2O4,337.2121,3.78,0.07,1/16,0
35,C19H19NOS,310.1261,5.6,1.08,1/1,0.436
36,C18H19ClN4,327.1369,5.25,0.49,1/2,0
37,C21H21NO6,384.144,4.18,0.06,1/16,0
38,C14H22N2O,235.1802,3.57,0.46,1/2,0.002
39,C13H10N2,195.0917,3.52,0.86,1/1,0.09
40,C22H26F3N3OS,438.182,15.81,0.28,1/4,0
41,C20H21ClO4,361.1199,31.6,1.82,2/1,0.031
42,C15H15NO2,242.1175,25.46,1.32,1/1,0.133
43,C25H35NO5,430.2586,12.39,0.51,1/2,0
44,C12H21N,180.1747,5.24,2.32,2/1,0.001
45,C24H26BrN3O3,484.1226,14.09,4.93,4/1,0.001
46,C26H29N3O6,480.2131,12.8,0.28,1/4,0
47,C17H19NO,254.1539,5.32,0.06,1/16,0
48,C10H9ClN4O2S,285.0206,4.68,2.63,2/1,0.005
49,C12H14N4O4S,311.0809,7.22,0.05,1/16,0
50,C18H15Cl3N2S,397.0093,22.58,15.95,16/1,0
51,C20H35NOS,338.2514,25.45,1.8,2/1,0.001
52,C25H28O3,377.2109,31.56,0.14,1/4,0
53,C18H15Cl3N2O,381.0322,21.68,19.29,16/1,0
54,C14H21N3O3S,312.1378,16.24,5.18,4/1,0
55,C17H13N3O5S2,404.0368,5.23,5.25,4/1,0
56,C23H31NO2,354.2429,20.1,0.28,1/4,0
57,C21H25NO2,324.196,10.55,1.97,2/1,0.001
58,C32H47F5O3S,607.3224,31.18,0.15,1/4,0
59,C25H32ClN5O2,470.2307,16.48,0.41,1/2,0.025
60,C23H27FN4O3,427.2136,4.62,3.79,4/1,0
61,C19H28N2O4,349.2121,3.64,1.25,1/1,0.055
62,C21H19F2N3O3,400.1475,4.07,0.35,1/2,0.001
63,C19H21NS,296.1469,11.69,2.06,2/1,0.001
64,C21H35NO,318.2793,21.44,1.84,2/1,0.004
65,C25H31NO6,442.2221,17.92,18.53,16/1,0
66,C50H75NO14,914.5269,31.72,0.14,1/4,0
67,C15H13ClFNO2,294.069,27.23,4.65,4/1,0
68,C17H19N3,266.1653,6.48,14.97,16/1,0
69,C19H24N2O4,345.1807,3.94,1.22,1/1,0.017
70,C22H38O5,383.2803,5.33,1,1/1,0.978
71,C22H38O5,383.2789,31.12,1.41,1/1,0.032
72,C12H20N4O7,333.1403,0.64,4.76,4/1,0
73,C25H37NO4,416.2774,18.99,1.16,1/1,0.155
74,C17H16FN3O2S,346.1019,5.3,1.08,1/1,0.613
75,C22H28F2O5,411.1975,12.3,1.14,1/1,0.038
76,C22H28O2,325.2163,25.66,1.18,1/1,0.002
77,C49H66N10O10S2,1019.4478,4.46,1.68,1/1,0.07
78,C20H15BrN6O,435.0565,29.5,1.06,1/1,0.519
79,C18H18ClNO5,364.0948,26.56,1.16,1/1,0.005
80,C9H11NO5,214.071,0.67,3.06,4/1,0
81,C13H16N2,201.1385,5.12,1.04,1/1,0.768
82,C27H36N2O5,469.2698,5.36,1.19,1/1,0.04
83,C20H25NO2,312.1959,13.1,1.02,1/1,0.895
84,C10H8F2N4O,239.0743,15.17,1.36,1/1,0.006
85,C19H30O3,307.2267,17.53,1.19,1/1,0.015
86,C19H20N2O3,325.1546,4.29,1.22,1/1,0.008
87,C15H28N4O4,329.2172,3.37,1.16,1/1,0.046
88,C30H34N2O3,471.264,12.3,0.99,1/1,0.662
89,C36H41N3O6,612.307,25.49,1.06,1/1,0.74
90,C20H29FO3,337.2176,13.04,1.3,1/1,0
91,C18H26ClN3O3,368.1737,3.71,1.18,1/1,0.045
92,C25H24FNO4,422.176,6.05,0.97,1/1,0.553
93,C22H36N2O5S,441.2419,8.4,1.17,1/1,0.057
94,C15H15NO3,258.1127,16.84,1.64,1/1,0.059
95,C16H21N5O2,316.1766,3.28,1.17,1/1,0.083
96,C14H23NO,222.1854,4.09,1.04,1/1,0.37
97,C45H57NO14,836.3853,30.08,1.15,1/1,0.801
98,C19H21N3O,308.1756,3.71,1.37,1/1,0.043
99,C31H43NO7,542.3112,32.2,1.05,1/1,0.486
100,C32H45NO7,556.3274,32.61,1.12,1/1,0.489
101,C21H23N7O2S,438.1702,6.2,1.43,1/1,0.015
102,C15H13NO3,256.0969,15.53,1.17,1/1,0.048
103,C12H15N5O3,278.1214,24.24,1.37,1/1,0.003
104,C19H18N4O2,335.1502,4.46,1.25,1/1,0.004
105,C39H37F6N3O2,694.2863,25.95,1.2,1/1,0.366
106,C20H25NO3,328.1908,6.34,1.15,1/1,0.008
107,C15H22N2O,247.1803,4.88,1.26,1/1,0.181
108,C11H21N,168.1742,3.63,1.06,1/1,0.561
109,C19H17N5O2,348.1453,3.23,1.02,1/1,0.887
110,C14H17N3O2S,292.1114,3.22,1.59,2/1,0.008
111,C27H31N7OS,502.2384,23.18,1.4,1/1,0.008
112,C34H38N3O7P,632.2532,31.15,0.84,1/1,0.423
113,C27H37N3O7S,548.2423,22.09,1.34,1/1,0.015
114,C30H29ClN6O3,557.2059,4.72,0.97,1/1,0.871
115,C23H26ClN7O3,484.1858,8.47,1.14,1/1,0.222
116,C21H30N4O5S,451.2005,7.81,1.15,1/1,0.023
117,C32H39NO2,470.3052,27.72,1.15,1/1,0.08
118,C26H25ClN2O3,449.1626,25.82,1.16,1/1,0.049
119,C18H22F2N4O,349.1835,4.82,1.25,1/1,0.007
120,C20H19F2N3O5,420.1363,13.86,1.04,1/1,0.303
121,C22H18N6,367.1666,11.04,1.21,1/1,0.025
122,C16H18O9,355.1022,3.34,1.29,1/1,0.027
123,C21H26O2,311.2005,21.85,1.08,1/1,0.379
124,C19H22N2O,295.1806,5.19,1.03,1/1,0.715
125,C31H48O6,517.3534,30.95,1.08,1/1,0.518
126,C15H17ClN4,289.1215,25.35,1.06,1/1,0.157
127,C13H17ClN2O2,269.105,3.56,1.11,1/1,0.096
128,C20H23NO4,342.1695,3.32,1.26,1/1,0.066
129,C14H18N2O,231.1493,24.21,1.11,1/1,0.027
130,C20H21FN2O,325.1712,8.43,1.09,1/1,0.034
131,C27H29NO10,528.186,10.47,1.27,1/1,0.001
132,C22H24BrFN4O2,475.1137,4.26,0.68,1/1,0.044
133,C6H13N5O,172.119,0.58,1.35,1/1,0.125
134,C22H29N3O4S,432.1946,3.62,1.08,1/1,0.494
135,C24H34O4,387.2532,28.98,1.16,1/1,0.06
136,C15H14N2O2,255.1128,10.47,1.11,1/1,0.042
137,C17H19N3O,282.1603,5.24,1,1/1,0.991
138,C15H24N2O4S,329.1532,3.27,1.06,1/1,0.701
139,C9H12ClN5O,242.0803,0.6,0.64,1/2,0.041
140,C21H27ClN2O2,375.1836,12.34,1.13,1/1,0.135
141,C14H10N4O5,315.0722,11.99,1.16,1/1,0.155
142,C24H25FN6O,433.2145,6.07,1.17,1/1,0.039
143,C10H15N5,206.1399,3.71,1.14,1/1,0.082
144,C17H21NO3,288.1593,0.59,1.43,1/1,0.125
145,C24H30O6,415.2118,22.78,1.11,1/1,0.06
146,C17H14Cl2F2N2O3,403.0424,27.42,1.07,1/1,0.145
147,C20H22N8O5,455.1755,27.82,1.15,1/1,0.148
148,C19H27N5O5,406.2084,3.76,1.17,1/1,0.092
149,C19H29NO5,352.212,14.42,1.15,1/1,0.055
150,C25H25Cl2N7O,510.1568,13.19,1.27,1/1,0.001
151,C25H24N6O2,441.2036,21.57,1.14,1/1,0.199
152,C15H14N2O4S,319.0745,8.24,1.22,1/1,0.053
153,C43H65FN6O10,845.4821,11.47,0.83,1/1,0.085
154,C23H21F7N4O3,535.1577,28.13,1.19,1/1,0.062
155,C31H33N5O4,540.2607,12.55,1.16,1/1,0.235
156,C23H22F7N4O6P,615.1235,24.23,1.26,1/1,0.003
157,C24H29N7O2,448.2452,4.7,1.13,1/1,0.261
158,C24H25FO5S,445.1463,9.27,1.29,1/1,0.009
159,C18H28N2O,289.2276,5.56,1.05,1/1,0.338
160,C19H18N2O4S,371.1062,24.73,1.33,1/1,0.007
161,C21H15ClF4N4O3,483.0844,29.61,1.27,1/1,0.081
162,C56H71N9O23S,1270.4467,26.22,0.81,1/1,0.362
163,C40H57N5O7,720.4335,24.74,0.94,1/1,0.701
164,C30H46NO7P,564.3079,31.29,1.1,1/1,0.28
165,C24H26FNO4,412.1917,26.95,1.11,1/1,0.01
166,C46H62N4O11,847.4493,22.47,0.86,1/1,0.045
167,C18H19N3O,294.1646,4.51,1.04,1/1,0.833
168,C18H20N2O2S,329.1328,31.56,0.99,1/1,0.879
169,C16H25NO4,296.1858,4.41,0.92,1/1,0.028
170,C12H16N2S,221.1109,3.86,1.05,1/1,0.423
171,C17H25N3O2,304.2008,3.2,1.07,1/1,0.505
172,C25H32F3N3O4,496.2416,4.53,1.27,1/1,0.141
173,C22H22N2O4,379.1639,27.68,1.16,1/1,0.288
174,C18H20FN5O4,390.1576,4.43,1.13,1/1,0.109
175,C15H18N8O5,391.1471,3.27,1.14,1/1,0.208
176,C15H9FN2O3,285.0669,24.8,1.13,1/1,0.172
177,C17H15FN6O3,371.1259,8.02,1.32,1/1,0.002
178,C19H33NO2,308.2586,24.7,1.14,1/1,0.027
179,C20H25NO2S2,376.1451,12.96,1.37,1/1,0.015
180,C23H23ClN6O2,451.1646,28.83,1.08,1/1,0.14
181,C9H14N4O3,227.1115,3.82,1.23,1/1,0.013
182,C26H23FIN5O4,616.0846,27.2,1.21,1/1,0.094
183,C22H24FN5O4,442.1883,15.58,1.34,1/1,0.003
184,C24H23N5O,398.1978,10.95,1.2,1/1,0.007
185,C18H22N2,267.1856,7.84,0.97,1/1,0.733
186,C25H25N5O4,460.1975,11.39,1.25,1/1,0.028
187,C28H36N4O2S,493.2632,18.09,1.08,1/1,0.082
188,C21H21FN2O4S,417.1279,25.46,1.16,1/1,0.111
189,C20H22N4O5,399.166,4.11,1.07,1/1,0.254
190,C10H17NOS,200.1096,0.59,3.25,4/1,0.002
191,C12H11NO,186.0911,6.22,0.85,1/1,0.315
192,C14H9ClF3NO2,316.0342,28.14,1.04,1/1,0.568
193,C43H68ClNO11,810.4553,32.27,1.02,1/1,0.684
194,C21H19N3O5,394.1395,12.83,1.01,1/1,0.893
195,C26H26F3N3O3,486.2001,28.43,0.93,1/1,0.328
196,C21H30Cl2N2O5,461.1596,27.85,0.94,1/1,0.413
197,C15H21N3O2S,308.1427,3.91,0.96,1/1,0.278
198,C22H18FN7O,416.1626,9.45,0.87,1/1,0.396
199,C20H30N4O2,359.2441,3.18,1.79,2/1,0.011
200,C23H26O3,351.1951,32.4,1.04,1/1,0.174
201,C18H23NO3,302.1751,3.54,1.21,1/1,0.035
202,C19H30O5,339.2171,3.79,0.04,1/16,0
203,C10H19O6PS2,331.0429,27.45,1.17,1/1,0.004
204,C12H17NO,192.1383,13.95,1,1/1,0.895
205,C21H45N3,340.3688,29.09,1.26,1/1,0.002
206,C22H42N4O8S2,555.2517,3.68,1.2,1/1,0.134
207,C12H21N2O3PS,305.1085,29.93,1.09,1/1,0.162
208,C6H8N2,109.0756,0.55,2.85,4/1,0
209,C13H17NO,204.1382,18.34,1.13,1/1,0.084
210,C18H26O3,291.1956,32.26,1.14,1/1,0.082
211,C24H27NO2,362.2113,32.22,1.07,1/1,0.385
212,C4H7Cl2O4P,220.9531,8.85,1.05,1/1,0.607
213,C16H22O4,279.1593,31.34,1.06,1/1,0.432
214,C17H26N2O,275.212,4.36,0.83,1/1,0.009
215,C24H33N3O4,428.2543,6.77,0.89,1/1,0.057
216,C11H16ClNO,214.0993,3.57,0.96,1/1,0.669
217,C21H19ClN4O4,427.1165,4.29,1.38,1/1,0.006
218,C21H30O4,347.2215,13.23,1.13,1/1,0.013
219,C22H26ClN7O2S,488.1626,6.95,1.22,1/1,0.018
220,C23H32N6O4S,489.2277,10.47,1.1,1/1,0.319
221,C21H43N5O7,478.3215,30.17,0.9,1/1,0.852
222,C20H41N5O7,464.3071,0.72,1.02,1/1,0.933
223,C19H39N5O7,450.2886,33.7,0.95,1/1,0.32
224,C12H12N2O3,233.0922,9.44,1.34,1/1,0.032
225,C28H36ClN5O3S,558.2299,22.03,0.96,1/1,0.49
226,C21H20O9,417.1177,3.4,1.13,1/1,0.06
227,C27H30F6N2O2,529.2286,30.87,1.02,1/1,0.676
228,C20H26N2O4,359.1963,3.79,1.16,1/1,0.007
229,C16H20N6O,313.177,3.39,1.24,1/1,0.03
230,C19H20FNO3,330.1501,10.95,1.11,1/1,0.178
231,C24H32O7,433.2223,22.78,1.09,1/1,0.062
232,C13H15NO3,234.1125,11.53,1.04,1/1,0.489
233,C21H21ClN4OS,413.1196,7.42,1.16,1/1,0.01
234,C9H10N2O,163.0858,5.69,1.23,1/1,0.019
235,C18H25N3O2,316.2018,3.44,1.2,1/1,0.006
236,C12H13NO3,220.0968,6.85,0.85,1/1,0.004
237,C14H10N2O,223.0867,10.99,1.16,1/1,0.052
238,C7H6N2,119.0602,5.16,1.15,1/1,0.382
239,C7H4ClNOS,185.9774,10.96,1.2,1/1,0.023
240,C12H11N5,226.1087,3.82,1.34,1/1,0.005
241,C20H25NO,296.2011,6.7,1.09,1/1,0.26
242,C18H27NO3,306.2068,3.2,1.03,1/1,0.586
243,C25H32N2O4,425.2436,5.73,1.41,1/1,0.001
244,C25H32N2O6,457.2334,8.65,0.98,1/1,0.762
245,C15H10O2,223.0755,21.21,0.99,1/1,0.889
246,C9H9I2NO3,433.874,3.5,1.3,1/1,0.003
247,C8H13NO2,156.1013,0.59,1.32,1/1,0.059
248,C42H70O35,1135.377,0.97,1.38,1/1,0.252
249,C17H28O6,329.1942,6.34,1.13,1/1,0.036
250,C10H6O3,175.0363,31.21,0.89,1/1,0.435
251,C15H12O2,225.091,19.11,1.28,1/1,0.021
252,C11H8O3,189.0543,7.96,1.29,1/1,0.015
253,C22H31N3O3,386.244,7.78,1.11,1/1,0.176
254,C20H31NO2,318.243,17.74,0.98,1/1,0.663
255,C13H16N4O6,325.114,3.17,0.99,1/1,0.698
256,C13H16N4O6,325.1152,21.77,1.36,2/1,0.014
257,C21H18O11,447.0919,6.47,1.3,1/1,0.003
258,C15H24N2O2,265.1909,0.59,1.83,2/1,0.052
259,C15H24N2O,249.1959,0.59,2.94,4/1,0.015
260,C22H16N4O3,385.1296,4.51,1.48,1/1,0.001
261,C14H22N4O4S,343.1434,4.38,1.12,1/1,0.193
262,C24H27FN2O2,395.213,10.81,1.15,1/1,0.034
263,C24H32N2O2,381.2538,12.02,0.96,1/1,0.433
264,C24H32N6O3,453.261,4.83,1.12,1/1,0.017
265,C17H19N3O2S,330.1272,5.39,1.19,1/1,0.008
266,C18H14N6O2,347.1249,3.96,1.4,1/1,0.001
267,C28H40BrN7O4,618.2396,7.89,1.04,1/1,0.749
268,C26H29ClN2O4S,501.161,22.01,1.04,1/1,0.302
269,C26H26F3N7O2,526.2176,23.1,1.08,1/1,0.304
270,C19H19N5O,334.1664,29.61,1.17,1/1,0.002
271,C14H10F3NO5,330.0582,25.7,1.17,1/1,0.018
272,C21H24N4O2S,397.1691,6.29,1.68,1/1,0.009
273,C19H17Cl3N4O3,455.0437,26.85,0.97,1/1,0.676
274,C18H19FN2O2,315.1502,7.5,1.23,1/1,0
275,C26H28N8O,469.2459,7.16,1.02,1/1,0.621
276,C21H22FN3O,352.1818,5.17,1.18,1/1,0.068
277,C16H15N7O,322.141,5.35,1.04,1/1,0.751
278,C27H32N8O2,501.2786,5.58,0.96,1/1,0.6
279,C23H23O2N5,402.1926,26.33,1.06,1/1,0.316
280,C18H14N4,287.1293,3.39,1.07,1/1,0.469
281,C19H21ClN4,341.1524,3.42,1.45,1/1,0.007
282,C26H24N8O2,481.2092,3.75,1.26,1/1,0
283,C21H24ClFN4O3,435.159,6.51,1.27,1/1,0.022
284,C24H17N3O6,444.1191,26.9,1.22,1/1,0.015
285,C25H25ClN6O4S,541.1421,21.88,1.24,1/1,0.01
286,C26H19ClN8,479.1491,6.93,1.37,1/1,0.01
287,C25H34FN3O2,428.2709,18.57,1.09,1/1,0.335
288,C29H35N7O4,546.2824,6.28,1.04,1/1,0.849
289,C34H44N4O4,573.3429,3.92,1.24,1/1,0.172
290,C24H30N6O2,435.2501,5.46,1.41,1/1,0.033
291,C22H22F3N3O3,434.1688,12.73,1.17,1/1,0.033
292,C24H29ClN6OS,485.1883,5.56,1.36,1/1,0.002
293,C21H24FN5O5S,478.1557,26.23,1.08,1/1,0.056
294,C26H40N4,409.3322,3.53,0.93,1/1,0.363
295,C11H11Cl2N,228.0342,6.04,1.11,1/1,0.011
296,C36H46N8O3,639.3768,13.6,1.17,1/1,0.151
297,C31H32BrNO4S2,628.1011,31.91,1.1,1/1,0.325
298,C18H16ClN3O2,342.1006,13.09,1.09,1/1,0.048
299,C27H31FN6OS,507.2333,4.11,1.17,1/1,0.27
300,C24H22F3N5O5,518.1647,27.73,1.31,1/1,0.021
301,C23H35N5O2,414.2865,3.83,0.86,1/1,0.052
302,C26H36N6O3,481.2919,4.64,1.04,1/1,0.605
303,C26H33FN4O3S,501.2331,14.91,1.16,1/1,0.038
304,C18H11N3O2S,334.0642,5.28,1.32,1/1,0.001
305,C15H15N7O,310.1414,14.76,0.99,1/1,0.855
306,C24H25N5O4,448.198,14.54,1.13,1/1,0.057
307,C19H19N3O2S,354.1268,5.62,1.48,1/1,0.008
308,C23H26IN7O2S,592.0988,8.33,1.05,1/1,0.484
309,C14H17IN4O2,401.0467,9.03,1.26,1/1,0.08
310,C29H29ClN4O2,501.2051,10.03,1.09,1/1,0.577
311,C30H31FN4O2,499.2504,25.26,1.21,1/1,0.063
312,C15H19Cl2N3O4,376.0823,5.49,1.3,1/1,0.007
313,C21H19Cl2IN4O2,557.0004,30.58,1.04,1/1,0.042
314,C27H20ClFN4O4,519.1233,26.83,1.09,1/1,0.385
315,C19H18ClN3O4,388.1055,14.63,1.09,1/1,0.121
316,C16H11BrN2O,327.012,22.3,1.16,1/1,0.073
317,C30H27N5O,474.2288,21.77,1.31,1/1,0.022
318,C25H27N3O2S,434.1895,10.41,1.26,1/1,0.022
319,C19H20ClN3O5S,438.0883,26.18,1.27,1/1,0.011
320,C15H18N2,227.1544,5.1,1.13,1/1,0.208
321,C14H16ClN5O2S,354.0785,17.9,0.68,1/1,0.26
322,C28H23N7O2,490.1985,16.95,1.21,1/1,0.001
323,C30H26F2N4O5,561.1949,24.44,0.87,1/1,0.069
324,C23H25F4N3O3S,500.1623,11.53,1.19,1/1,0.031
325,C30H25F10NO3,638.1752,32.33,1.12,1/1,0.094
326,C19H17ClN2O5,389.0899,17.63,1.07,1/1,0.255
